temp,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
24.9,18.6,69.8,18.221,100,12.5,60.0,33.2,164.5,1008.5,70.0,15.4,136.2,11.6,5
17.2,13.8,81.0,17.332,100,8.33,51.8,24.5,0.1,1012.6,95.7,15.5,130.5,11.3,6
22.7,18.3,78.3,0.864,100,4.17,45.4,27.0,142.7,1011.7,87.1,10.8,198.3,17.1,10
22.5,17.7,74.9,2.114,100,29.17,51.8,29.9,236.3,1009.0,56.8,15.4,88.3,7.5,10
21.2,13.9,66.0,3.842,100,4.17,29.5,14.8,119.5,1010.9,10.2,16.0,220.8,19.3,10
25.0,19.6,72.0,0.0,0,0.0,40.1,23.7,129.2,1006.9,61.0,15.0,172.7,15.0,7
28.0,21.2,67.8,0.0,0,0.0,52.0,32.5,169.9,1003.0,37.4,14.8,248.7,21.4,10
28.2,21.7,68.9,0.0,0,0.0,54.3,32.1,171.6,1006.2,60.4,14.9,190.8,16.5,10
27.8,21.7,70.1,0.0,0,0.0,45.9,25.7,165.2,1014.0,59.8,15.7,189.7,16.3,7
26.8,19.8,66.6,0.0,0,0.0,43.0,25.7,167.4,1017.3,50.1,16.0,255.5,21.9,10
26.7,19.2,65.7,0.0,0,0.0,42.5,26.9,163.8,1014.1,18.9,16.0,236.0,20.5,10
26.8,17.9,60.3,0.0,0,0.0,42.5,24.0,168.4,1010.5,25.4,16.0,211.9,18.2,10
27.5,18.5,59.1,0.0,0,0.0,57.4,34.0,158.5,1011.6,22.5,16.0,220.6,19.2,10
27.9,19.6,62.4,0.0,0,0.0,64.3,27.4,153.3,1011.1,42.9,16.0,211.2,18.2,10
26.1,16.7,57.8,0.0,0,0.0,51.8,21.8,90.7,1013.4,43.7,16.0,209.5,18.0,10
28.2,18.1,56.5,0.0,0,0.0,49.6,30.3,158.3,1011.7,46.8,16.0,302.0,26.0,10
28.1,17.5,55.7,0.0,0,0.0,49.6,28.3,174.2,1008.9,38.3,16.0,197.0,16.8,10
28.2,18.2,56.6,0.0,0,0.0,57.8,33.8,177.8,1004.5,24.6,16.0,215.3,18.7,10
28.4,20.1,61.5,0.0,0,0.0,63.2,37.6,175.8,1001.4,57.6,14.5,205.2,17.6,10
25.8,19.1,67.4,0.784,100,16.67,56.8,32.7,226.3,1009.8,75.3,14.6,197.0,17.1,10
18.4,11.0,62.7,0.0,0,0.0,48.1,29.2,12.5,1021.1,90.4,16.0,188.8,16.2,8
20.4,16.4,79.4,0.0,0,0.0,48.5,26.6,90.9,1016.7,95.5,12.5,167.3,14.5,10
20.7,17.5,82.2,43.398,100,33.33,60.8,31.1,97.5,1008.2,96.8,14.7,127.4,11.0,10
18.4,12.4,71.1,9.781,100,20.83,58.3,31.1,281.5,1009.0,80.5,15.4,130.5,11.4,7
22.4,10.0,49.9,0.0,0,0.0,50.9,29.7,304.6,1012.6,17.8,16.0,164.7,14.3,10
24.6,11.6,48.3,0.0,0,0.0,15.5,13.9,103.7,1014.9,5.6,16.0,177.0,15.2,10
27.1,15.4,49.4,0.0,0,0.0,54.5,32.5,159.0,1009.5,10.8,16.0,207.9,18.2,10
27.9,18.6,58.3,0.0,0,0.0,59.6,35.4,167.5,1004.5,44.2,16.0,222.6,19.3,10
28.3,19.1,59.1,0.0,0,0.0,60.2,37.5,171.6,1005.6,60.5,16.0,130.2,11.3,10
28.9,20.8,63.2,0.0,0,0.0,50.9,29.5,163.7,1009.7,59.3,16.0,164.3,14.2,10
27.1,21.6,72.1,12.648,100,16.67,42.6,22.9,120.9,1012.8,72.5,15.8,117.2,10.0,10
24.5,18.1,69.4,17.266,100,12.5,67.6,35.6,17.8,1013.8,44.6,15.4,178.8,15.6,10
24.0,19.0,74.1,4.131,100,12.5,38.9,17.1,77.2,1013.2,64.4,15.7,132.3,11.5,7
25.0,19.9,75.1,0.0,0,0.0,20.2,19.2,135.8,1010.2,60.6,15.7,198.8,17.2,10
27.1,20.1,66.7,0.0,0,0.0,47.3,27.6,145.2,1005.7,43.4,16.0,298.5,25.8,10
29.0,20.8,62.5,0.0,0,0.0,47.1,29.1,167.5,1003.7,37.1,16.0,214.0,18.6,10
29.2,21.5,64.4,0.0,0,0.0,43.7,26.2,155.8,1007.6,41.4,16.0,257.7,22.2,10
28.0,20.8,66.0,0.0,0,0.0,53.6,26.9,160.9,1011.2,58.0,16.0,209.5,18.1,8
27.9,21.6,69.8,0.0,0,0.0,31.7,19.8,97.6,1013.9,65.0,15.9,250.6,21.6,10
